"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8853.079,8528.369,9428.09,10428.971,11140.717,11879.757,12429.987,12342.609,13612.548,14623.928,15707.957,16911.281,18083.063,19431.903,21042.847,22714.929,23619.984,22076.217,22122.738,22639.791,22599.206,22978.674,23397.303,24412.866,25727.35,27390.569,29157.034,32332.007,30690.102,37234.082,42946.961,46005.225,48811.093,51223.926,53691.315,56213.068,58829.054,61567.484
Cyprus,6087.963,6781.936,7567.916,8174.915,9094.347,9712.771,10143.317,11015.995,12224.847,13533.308,14769.243,14980.95,16326.363,16421.644,17394.763,19328.311,19595.657,20153.591,21340.528,22469.575,24080.274,25336.742,26386.038,27296.54,29065.655,30995.988,32965.837,34931.806,36028.417,34601.555,34850.24,34840.501,33380.881,31571.272,31840.244,33665.361,36163.823,38626.82,40951.164,44995.253,42990.901,48704.181,54288.993,56628.363,59857.876,62288.051,64809.2,67435.04,70184.268,73090.029
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15601.878,16625.458,16831.282,16970.03,17463.493,18596.172,19657.707,20326.606,21430.016,23042.435,25271.335,27708.888,29931.942,31035.579,29493.768,30556.212,31664.824,31948.813,32446.012,33764.198,35679.615,36806.635,39288.117,41560.489,45519.879,44823.06,49943.717,53448.101,55206.513,56686.216,59205.196,61903.201,64568.783,67278.722,70086.69
Côte d'Ivoire,2582.721,2860.707,2930.066,2825.038,2790.448,2871.197,2953.594,2899.277,3007.683,3092.091,3048.312,3031.124,2975.295,2766.995,2748.569,2878.905,3082.718,3200.917,3279.28,3285.532,3198.988,3183.947,3091.119,3022.856,3055.019,3115.956,3170.094,3221.34,3273.293,3306.035,3318.833,3133.187,3439.894,3716.546,3999.447,4271.378,4492.756,4775.636,5029.584,5598.835,5610.457,6096.749,6744.7,7214.352,7648.157,8055.157,8487.061,9032.946,9524.076,10013.736
Denmark,12427.419,13497.291,14902.966,15905.277,17209.184,18494.195,19740.091,20289.55,21043.606,22018.771,23197.564,24279.315,25258.418,25744.058,27600.012,28928.722,30108.758,31453.461,32424.803,33741.367,35678.91,36698.147,37304.154,38100.996,40107.185,42232.126,45063.654,46572.896,47024.099,44668,45733.843,47069.987,47773.198,49068.753,50340.277,51577.438,53221.935,55427.449,57356.837,60682.02,62775.249,70543.351,76301.226,80210.524,83454.418,85788.768,87986.299,90188.152,92310.254,94834.407
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2707.693,2602.029,2640.571,2506.593,2509.636,2441.592,2344.175,2294.266,2255.768,2288.855,2299.566,2343.081,2410.649,2494.189,2591.617,2715.052,2892.076,3077.221,3274.264,3301.367,3428.825,3695.505,3880.829,4073.123,4365.973,4649.454,4946.164,5225.282,5681.89,6036.474,6263.205,6654.407,7303.853,7988.555,8600.896,9168.626,9735.864,10339.767,10985.054,11670.745
Dominica,no data,2173.079,2411.276,2579.029,2794.304,2934.181,3216.55,3516.823,3939.609,4101.024,4501.228,4733.163,4938.893,5164.836,5276.485,5549.881,5826.485,6055.976,6354.631,6466.879,6767.526,6914.987,6828.628,7411.104,7848.108,8153.102,8802.316,9622.04,10513.206,10461.718,10675.226,10990.132,11154.961,11202.516,11807.407,11469.672,11890.468,11588.946,13051.491,14290.879,12505.036,14212.229,15995.551,17265.606,18390.67,19417.864,20322.247,21192.6,22061.783,22893.869
Dominican Republic,2519.975,2812.068,2967.378,3151.556,3228.541,3182.65,3280.457,3612.979,3732.046,3961.352,3809.71,3907.648,4365.166,4710.849,4851.933,5148.39,5467.065,5960.507,6330.436,6699.479,7066.528,7303.176,7647.191,7589.789,7892.592,8797.807,9788.391,10678.379,11105.648,11158.952,12109.395,12611.426,13057.897,13779.946,14858.385,15879.616,16937.126,17877.986,19023.797,20741.332,20092.118,23135.084,25777.184,27112.85,28949.585,30710.062,32589.396,34578.423,36685.879,38923.408
Ecuador,3103.092,3430.689,3584.651,3522.237,3701.487,3882.9,3979.891,3739.844,4169.059,4240.163,4426.491,4701.483,4872.316,4979.184,5194.965,5321.386,5418.94,5660.663,5823.196,5544.134,5647.367,5922.139,6203.28,6393.685,6890.957,7359.816,7774.403,7990.192,8526.276,8519.79,8809.694,9575.898,10131.213,10852.01,11308.432,11234.025,11083.519,11770.105,12166.664,12530.832,11539.698,13592.025,15373.751,16192.853,16515.535,16894.66,17376.808,17980.317,18621.136,19291.989
Egypt,2170.144,2360.617,2617.817,2883.125,3139.622,3381.628,3522.618,3683.234,3885.787,4069.126,4281.869,4428.048,4450.407,4544.338,4741.258,4943.556,5171.918,5451.98,5813.045,6125.592,6457.169,6699.163,6882.962,7093.87,7440.463,7858.184,8475.096,9144.37,9775.031,10067.393,10469.188,10630.601,10801.247,11066.123,11295.056,11602.855,11952.822,12117.554,13418.954,14532.979,16551.424,16930.47,19064.082,20180.861,20799.054,21608.936,22688.458,23829.591,25125.597,26502.92
